2019001	张三	计算机科学与技术191	74	68	54.5	95	62.5
2019002	李四	计算机科学与技术191	81.5	46	83.5	69	63
2000003	崔欣月	计算机科学与技术191	57	87	77	56	71.5
2000004	刘凯辰	计算机科学与技术191	59.5	52	93.5	78	69.5
2000005	郭如清	计算机科学与技术191	18.5	100	71.5	93.5	82.5
2000006	王壮笑	计算机科学与技术191	98	59.5	61	81	72.5
2000007	王晓玲	计算机科学与技术191	50.5	69.5	67	80	38.5
2000008	何青媛	计算机科学与技术191	76.5	60	93.5	57	92.5
2000009	李慧倩	计算机科学与技术191	67	93.5	53.5	95.5	84
2000010	刘汉	计算机科学与技术191	50.5	76.5	60	69	87.5
2000011	王烨茹	计算机科学与技术191	50	68	94.5	86.5	98
2000012	张汉田	计算机科学与技术191	50	67.5	55	80.5	34.5
2000013	孙浩军	计算机科学与技术191	58	67.5	58	70	74
2000014	张晓卓	计算机科学与技术191	66.5	75.5	86.5	88	62.5
2000015	陈展刚	计算机科学与技术191	32.5	34	78.5	89.5	63
2000016	蔡大	计算机科学与技术191	77	66.5	36	71.5	71
2000017	王俊成	计算机科学与技术191	100	45	91.5	97	77
2000018	吕健洁	计算机科学与技术191	92.5	92	55	29.5	65
2000019	王超杰	计算机科学与技术191	58.5	85.5	67	80	56.5
2000020	赵兆	计算机科学与技术191	72.5	67	62	79	13
2000021	邵盈月	计算机科学与技术191	60	35	79	71.5	49.5
2000022	吕发涵	计算机科学与技术191	85	91.5	53	87	83.5
2000023	刘雨	计算机科学与技术191	76.5	59.5	67	98.5	78
2000024	肖继	计算机科学与技术191	84.5	16.5	93.5	74	82.5
2000025	王佰	计算机科学与技术191	84.5	75.5	86	62	72.5
2000026	张元瑶	计算机科学与技术191	75.5	94.5	81	44.5	38.5
2000027	孙桂凤	计算机科学与技术191	54	62	47.5	78	92.5
2000028	刘文霞	计算机科学与技术192	25.5	49.5	58	64	84
2000029	张涵田	计算机科学与技术192	99.5	85.5	79	62	87.5
2000030	孙靖香	计算机科学与技术192	42	64	78.5	88	98
2000031	廉文晗	计算机科学与技术192	24.5	28	78.5	28.5	34.5
